group_name,type,enabled,note
12 Nguyễn Duy Cung -SANDIVA - CHDV - Phòng Trọ,source,1,
"12/7 Đặng Minh Trứ, P10, Tân Bình",source,1,
"120 Chu Văn An, P.Tân Thành, Q.Tân Phú",source,1,
120 đề thám - CTV Sale,source,1,
121 Phan Huy Ích Tân Bình ❤️ ❤️,source,1,
"122/7 Yên Thế, P2, Tân Bình",source,1,
"124/11G Xóm Đất, Bình Thới ( P8), Quận 11",source,1,
124/75B Phan Huy Ích P15 T.B -SUONGHOME- DỰ ÁN MỚI,source,1,
"128 Bầu Cát 1 , Tân Bình",source,1,
12A Bạch Đằng - P2 - Tân Bình,source,1,
13/11 Quách Văn Tuấn ( Nhóm Sale),source,1,
1301 Hoàng Sa,source,1,
1306/17 Quang Trung P.14 Gò Vấp,source,1,
134/109 Lý Chính Thắng Q3,source,1,
1340/12/20 Lê Đức Thọ - Gò Vấp - Cập nhật phòng,source,1,
136 Lê Bình,source,1,
136/39/1 Trần Quang Diệu (Nhóm Sale ),source,1,
"137 Bạch Đằng Phường 2, Tân Bình",source,1,
"138/7/4 Đường Số 1,P1, Gò Vấp",source,1,
"139 Đất Thánh, P6, Tân Bình - ROOMY",source,1,
"14 ĐƯỜNG 53, TÂN TẠO, BÌNH TÂN",source,1,
14/10 NGUYỄN VĂN LƯỢNG -GÒ VẤP LIGHTHOUSE,source,1,
14/5A5 Kỳ Đồng - CTV Sales,source,1,
"140/27/13 Vườn Lài, An Phú Đông",source,1,
"141( Số Mới 335/24) Vườn Lài , Quận 12",source,1,
"141/88 Tám Danh, P Chánh Hưng ,(Quận 8 cũ)",source,1,
145/15 Nguyễn Thiện Thuật Q3,source,1,
145/7 Đường 3/2 | Sài Gòn Trọ,source,1,
146/2Q Đường số 30,source,1,
147/45 AN DƯƠNG VƯƠNG P AN LẠC BT,source,1,
"1472/14 LÊ ĐỨC THỌ, GÒ VẤP - COZY HOME",source,1,
148/15/21 Đường số 59 P14 GV,source,1,
1482 Lê Đức Thọ Phường An Hội Tây Gò Vấp,source,1,
"149/10/5 Bành Văn Trân, Tân Bình",source,1,
"149/4+8 BÀNH VĂN TRÂN, TB",source,1,
"14ĐS 1,KDCLê Thành, An Dương Vương,An Lạc,Bình Tân",source,1,
15/18/45 Nguyễn Ngọc Lộc - Quận 10,source,1,
155 Ngô Thị Thu Minh-Tân Bình,source,1,
156 Khuông Việt Tân Phú,source,1,
156/1/18 Cộng Hòa,source,1,
159 NGUYỄN THÁI BÌNH TÂN BÌNH,source,1,
159/61A Bạch Đằng - P.2 - Tân Bình,source,1,
"160/92 Phan Huy Ích, Gò Vấp",source,1,
162/3_NVK_MG,source,1,
"164 Võ Thành Trang, P11, Tân Bình - ROOMY",source,1,
166/27 Hồ Bá Kiện Q10 - Agent,source,1,
"166/3 Huỳnh Văn Nghệ, P.Tân Sơn",source,1,
168 BÁN NHÀ A THÁI CHDV,source,1,
"168/1 & 168/6 Trường Chinh, P13, Tân Bình",source,1,
"17 C22,P12,TÂN BÌNH CHỊ XUÂN",source,1,
